time_s,velocity_kmh,slope_rad
0,2.433090,0.000000
1,2.841328,0.000000
2,3.249566,0.000000
3,3.744352,0.000000
4,4.424748,0.000000
5,5.105144,0.000000
6,5.987487,0.000000
7,6.985401,0.000000
8,7.983316,0.000000
9,9.067779,0.000000
10,10.156413,0.000000
11,11.158672,0.000000
12,11.929788,0.000000
13,12.700904,0.000000
14,13.579075,0.000000
15,14.531630,0.000000
16,15.484185,0.000000
17,16.148418,0.000000
18,16.783455,0.000000
19,17.428745,0.000000
20,18.109141,0.000000
21,18.789538,0.000000
22,19.297185,0.000000
23,19.660063,0.000000
24,20.022941,0.000000
25,20.385819,0.000000
26,20.748697,0.000000
27,21.111575,0.000000
28,21.474453,0.000000
29,21.837331,0.000000
30,22.652068,0.000000
31,23.922141,0.000000
32,25.192214,0.000000
33,25.536844,0.000000
34,25.672923,0.000000
35,25.802920,0.000000
36,25.893639,0.000000
37,25.984359,0.000000
38,26.526243,0.000000
39,27.614877,0.000000
40,28.703511,0.000000
41,29.058568,0.000000
42,29.194647,0.000000
43,29.334724,0.000000
44,29.516163,0.000000
45,29.697602,0.000000
46,29.897463,0.000000
47,30.124261,0.000000
48,30.351060,0.000000
49,30.577859,0.000000
50,30.804658,0.000000
51,31.041015,0.000000
52,31.494612,0.000000
53,31.948210,0.000000
54,32.434480,0.000000
55,32.978797,0.000000
56,33.523114,0.000000
57,34.005909,0.000000
58,34.459506,0.000000
59,34.913104,0.000000
60,35.366701,0.000000
61,35.820299,0.000000
62,36.273896,0.000000
63,36.727494,0.000000
64,37.181091,0.000000
65,37.577338,0.000000
66,37.940216,0.000000
67,38.303094,0.000000
68,38.536670,0.000000
69,38.763469,0.000000
70,38.978102,0.000000
71,39.159541,0.000000
72,39.340980,0.000000
73,39.575600,0.000000
74,39.847758,0.000000
75,40.119917,0.000000
76,40.351060,0.000000
77,40.577859,0.000000
78,40.794578,0.000000
79,40.976017,0.000000
80,41.157456,0.000000
81,41.387904,0.000000
82,41.660063,0.000000
83,41.932221,0.000000
84,42.165450,0.000000
85,42.392249,0.000000
86,42.619048,0.000000
87,42.845846,0.000000
88,43.072645,0.000000
89,43.277025,0.000000
90,43.458464,0.000000
91,43.639903,0.000000
92,43.858186,0.000000
93,44.084984,0.000000
94,44.311783,0.000000
95,44.538582,0.000000
96,44.765381,0.000000
97,45.012513,0.000000
98,45.284672,0.000000
99,45.556830,0.000000
100,45.863747,0.000000
101,46.181265,0.000000
102,46.521724,0.000000
103,47.111401,0.000000
104,47.701078,0.000000
105,48.144769,0.000000
106,48.371568,0.000000
107,48.598366,0.000000
108,48.759819,0.000000
109,48.895899,0.000000
110,49.014599,0.000000
111,48.697080,0.000000
112,48.379562,0.000000
113,48.013556,0.000000
114,47.559958,0.000000
115,47.106361,0.000000
116,46.652763,0.000000
117,46.199166,0.000000
118,45.745568,0.000000
119,45.517032,0.000000
120,45.290233,0.000000
121,45.063434,0.000000
122,44.836635,0.000000
123,44.609837,0.000000
124,44.525547,0.000000
125,44.525547,0.000000
126,44.525547,0.000000
127,44.568474,0.000000
128,44.613834,0.000000
129,44.659194,0.000000
130,44.704553,0.000000
131,44.749913,0.000000
132,44.768856,0.000000
133,44.768856,0.000000
134,44.768856,0.000000
135,44.768856,0.000000
136,44.768856,0.000000
137,44.768856,0.000000
138,44.768856,0.000000
139,44.768856,0.000000
140,44.768856,0.000000
141,44.768856,0.000000
142,44.768856,0.000000
143,44.768856,0.000000
144,44.768856,0.000000
145,44.768856,0.000000
146,44.768856,0.000000
147,44.768856,0.000000
148,44.724366,0.000000
149,44.633646,0.000000
150,44.542927,0.000000
151,44.488877,0.000000
152,44.443518,0.000000
153,44.398158,0.000000
154,44.352798,0.000000
155,44.307438,0.000000
156,44.241919,0.000000
157,44.151199,0.000000
158,44.060480,0.000000
159,44.004345,0.000000
