time_s,velocity_kmh,slope_rad
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,4.828032,0.0
22,9.495129600000002,0.0
23,13.8403584,0.0
24,18.507456,0.0
25,23.013619200000004,0.0
26,27.1979136,0.0
27,27.841651200000005,0.0
28,29.129126400000004,0.0
29,33.3134208,0.0
30,34.9227648,0.0
31,36.0493056,0.0
32,36.21024,0.0
33,35.566502400000005,0.0
34,34.600896000000006,0.0
35,33.6352896,0.0
36,32.8306176,0.0
37,31.865011200000005,0.0
38,27.358848000000002,0.0
39,23.979225600000003,0.0
40,23.979225600000003,0.0
41,24.4620288,0.0
42,24.944832,0.0
43,25.749504,0.0
44,27.519782400000004,0.0
45,30.738470400000004,0.0
46,33.957158400000004,0.0
47,36.5321088,0.0
48,36.8539776,0.0
49,36.5321088,0.0
50,36.37117440000001,0.0
51,34.2790272,0.0
52,30.577536000000002,0.0
53,27.519782400000004,0.0
54,25.427635200000005,0.0
55,25.427635200000005,0.0
56,28.4853888,0.0
57,31.865011200000005,0.0
58,34.76183040000001,0.0
59,37.3367808,0.0
60,38.9461248,0.0
61,39.58986240000001,0.0
62,40.0726656,0.0
63,40.2336,0.0
64,39.58986240000001,0.0
65,39.428928,0.0
66,39.7507968,0.0
67,39.911731200000006,0.0
68,39.7507968,0.0
69,39.58986240000001,0.0
70,39.58986240000001,0.0
71,40.394534400000005,0.0
72,41.19920640000001,0.0
73,41.3601408,0.0
74,40.8773376,0.0
75,40.0726656,0.0
76,40.2336,0.0
77,40.8773376,0.0
78,41.842944,0.0
79,41.842944,0.0
80,41.3601408,0.0
81,42.003878400000005,0.0
82,42.969484800000004,0.0
83,44.25696000000001,0.0
84,46.02723840000001,0.0
85,47.1537792,0.0
86,47.958451200000006,0.0
87,48.441254400000005,0.0
88,48.9240576,0.0
89,49.406860800000004,0.0
90,49.406860800000004,0.0
91,49.084992,0.0
92,48.9240576,0.0
93,48.7631232,0.0
94,48.9240576,0.0
95,49.567795200000006,0.0
96,48.9240576,0.0
97,48.1193856,0.0
98,47.47564800000001,0.0
99,47.958451200000006,0.0
100,48.7631232,0.0
101,49.406860800000004,0.0
102,49.7287296,0.0
103,49.889664,0.0
104,49.7287296,0.0
105,48.9240576,0.0
106,47.958451200000006,0.0
107,48.1193856,0.0
108,48.6021888,0.0
109,49.406860800000004,0.0
110,50.2115328,0.0
111,51.177139200000006,0.0
112,51.82087680000001,0.0
113,52.1427456,0.0
114,51.82087680000001,0.0
115,51.016204800000004,0.0
116,46.02723840000001,0.0
117,40.7164032,0.0
118,35.405568,0.0
119,30.0947328,0.0
120,24.783897600000003,0.0
121,19.4730624,0.0
122,14.162227200000002,0.0
123,8.851392,0.0
124,3.5405568000000005,0.0
125,0.0,0.0
126,0.0,0.0
127,0.0,0.0
128,0.0,0.0
129,0.0,0.0
130,0.0,0.0
131,0.0,0.0
132,0.0,0.0
133,0.0,0.0
134,0.0,0.0
135,0.0,0.0
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0
139,0.0,0.0
140,0.0,0.0
141,0.0,0.0
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.0,0.0
146,0.0,0.0
147,0.0,0.0
148,0.0,0.0
149,0.0,0.0
150,0.0,0.0
151,0.0,0.0
152,0.0,0.0
153,0.0,0.0
154,0.0,0.0
155,0.0,0.0
156,0.0,0.0
157,0.0,0.0
158,0.0,0.0
159,0.0,0.0
160,0.0,0.0
161,0.0,0.0
162,0.0,0.0
163,0.0,0.0
164,5.3108352,0.0
165,10.6216704,0.0
166,15.932505600000002,0.0
167,21.2433408,0.0
168,26.554176000000002,0.0
169,31.865011200000005,0.0
170,35.7274368,0.0
171,39.1070592,0.0
172,41.521075200000006,0.0
173,42.4866816,0.0
174,41.3601408,0.0
175,40.394534400000005,0.0
176,39.7507968,0.0
177,40.2336,0.0
178,40.5554688,0.0
179,40.8773376,0.0
180,41.521075200000006,0.0
181,43.7741568,0.0
182,42.647616,0.0
183,38.624256,0.0
184,36.5321088,0.0
185,31.2212736,0.0
186,28.4853888,0.0
187,27.6807168,0.0
188,29.129126400000004,0.0
189,29.933798400000004,0.0
190,32.18688,0.0
191,35.7274368,0.0
192,39.428928,0.0
193,43.9350912,0.0
194,49.084992,0.0
195,53.91302400000001,0.0
196,58.25825280000001,0.0
197,60.028531199999996,0.0
198,63.247219199999996,0.0
199,65.178432,0.0
200,67.7533824,0.0
201,70.00646400000001,0.0
202,72.58141440000001,0.0
203,74.029824,0.0
204,75.3172992,0.0
205,76.44384000000001,0.0
206,76.44384000000001,0.0
207,76.1219712,0.0
208,75.96103680000002,0.0
209,75.63916800000001,0.0
210,75.63916800000001,0.0
211,75.63916800000001,0.0
212,75.63916800000001,0.0
213,75.63916800000001,0.0
214,75.96103680000002,0.0
215,76.2829056,0.0
216,77.0875776,0.0
217,78.053184,0.0
218,79.01879040000001,0.0
219,79.66252800000001,0.0
220,80.4672,0.0
221,81.4328064,0.0
222,82.07654400000001,0.0
223,82.88121600000001,0.0
224,84.00775680000001,0.0
225,85.61710080000002,0.0
226,87.06551040000001,0.0
227,87.8701824,0.0
228,88.3529856,0.0
229,88.51392000000001,0.0
230,88.3529856,0.0
231,87.8701824,0.0
232,87.8701824,0.0
233,88.1920512,0.0
234,88.67485440000002,0.0
235,89.31859200000001,0.0
236,89.64046080000001,0.0
237,90.28419840000001,0.0
238,90.6060672,0.0
239,91.0888704,0.0
240,91.2498048,0.0
241,91.2498048,0.0
242,90.927936,0.0
243,90.927936,0.0
244,90.927936,0.0
245,90.927936,0.0
246,90.927936,0.0
247,90.927936,0.0
248,90.7670016,0.0
249,90.28419840000001,0.0
250,89.8013952,0.0
251,88.67485440000002,0.0
252,87.8701824,0.0
253,87.22644480000001,0.0
254,86.904576,0.0
255,86.42177280000001,0.0
256,86.26083840000001,0.0
257,86.7436416,0.0
258,86.904576,0.0
259,87.06551040000001,0.0
260,87.06551040000001,0.0
261,86.5827072,0.0
262,85.93896960000001,0.0
263,85.295232,0.0
264,84.6514944,0.0
265,83.84682240000001,0.0
266,84.3296256,0.0
267,83.685888,0.0
268,83.5249536,0.0
269,83.20308480000001,0.0
270,82.88121600000001,0.0
271,83.04215040000001,0.0
272,83.3640192,0.0
273,83.84682240000001,0.0
274,84.49056,0.0
275,85.295232,0.0
276,86.09990400000001,0.0
277,86.904576,0.0
278,88.3529856,0.0
279,89.15765760000001,0.0
280,89.47952640000001,0.0
281,90.123264,0.0
282,90.123264,0.0
283,89.8013952,0.0
284,88.83578880000002,0.0
285,87.709248,0.0
286,86.26083840000001,0.0
287,84.49056,0.0
288,82.88121600000001,0.0
289,82.88121600000001,0.0
290,82.88121600000001,0.0
291,82.23747840000001,0.0
292,80.62813440000001,0.0
293,80.4672,0.0
294,80.62813440000001,0.0
295,80.4672,0.0
296,79.82346240000001,0.0
297,79.66252800000001,0.0
298,79.66252800000001,0.0
299,79.66252800000001,0.0
300,79.01879040000001,0.0
301,78.2141184,0.0
302,77.40944640000001,0.0
303,75.96103680000002,0.0
304,74.1907584,0.0
305,72.42048,0.0
306,70.4892672,0.0
307,68.5580544,0.0
308,66.78777600000001,0.0
309,64.8565632,0.0
310,61.959744,0.0
311,59.545728000000004,0.0
312,56.64890880000001,0.0
313,54.3958272,0.0
314,52.30368,0.0
315,50.69433600000001,0.0
316,49.24592640000001,0.0
317,49.084992,0.0
318,48.28032,0.0
319,46.670976,0.0
320,44.25696000000001,0.0
321,39.911731200000006,0.0
322,34.600896000000006,0.0
323,32.347814400000004,0.0
324,30.738470400000004,0.0
325,29.772864000000002,0.0
326,27.358848000000002,0.0
327,24.944832,0.0
328,20.1168,0.0
329,17.380915200000004,0.0
330,12.874752,0.0
331,7.563916800000001,0.0
332,2.2530816,0.0
333,0.0,0.0
334,0.0,0.0
335,0.0,0.0
336,0.0,0.0
337,0.0,0.0
338,0.0,0.0
339,0.0,0.0
340,0.0,0.0
341,0.0,0.0
342,0.0,0.0
343,0.0,0.0
344,0.0,0.0
345,0.0,0.0
346,0.0,0.0
347,1.609344,0.0
348,6.9201792,0.0
349,12.2310144,0.0
