time_s,velocity_kmh,slope_rad
0.0,0.0,0.0
1.0,0.0,0.0
2.0,0.0,0.0
3.0,3.218688,0.0
4.0,7.885785600000001,0.0
5.0,13.0356864,0.0
6.0,18.185587200000004,0.0
7.0,23.335488,0.0
8.0,27.841651200000005,0.0
9.0,31.543142400000004,0.0
10.0,35.083699200000005,0.0
11.0,38.624256,0.0
12.0,41.521075200000006,0.0
13.0,43.613222400000005,0.0
14.0,45.061632,0.0
15.0,46.670976,0.0
16.0,48.28032,0.0
17.0,49.406860800000004,0.0
18.0,50.69433600000001,0.0
19.0,51.82087680000001,0.0
20.0,52.9474176,0.0
21.0,53.91302400000001,0.0
22.0,54.878630400000006,0.0
23.0,55.68330240000001,0.0
24.0,56.1661056,0.0
25.0,56.487974400000006,0.0
26.0,57.45358080000001,0.0
27.0,57.7754496,0.0
28.0,57.6145152,0.0
29.0,56.809843199999996,0.0
30.0,56.1661056,0.0
31.0,55.522368,0.0
32.0,55.68330240000001,0.0
33.0,56.0051712,0.0
34.0,56.487974400000006,0.0
35.0,57.45358080000001,0.0
36.0,58.097318400000006,0.0
37.0,58.25825280000001,0.0
38.0,58.741056,0.0
39.0,59.06292480000001,0.0
40.0,59.3847936,0.0
41.0,59.545728000000004,0.0
42.0,59.545728000000004,0.0
43.0,59.545728000000004,0.0
44.0,59.545728000000004,0.0
45.0,59.545728000000004,0.0
46.0,59.545728000000004,0.0
47.0,59.706662400000006,0.0
48.0,60.028531199999996,0.0
49.0,60.8332032,0.0
50.0,62.12067840000001,0.0
51.0,63.247219199999996,0.0
52.0,64.37376,0.0
53.0,65.5003008,0.0
54.0,66.6268416,0.0
55.0,67.91431680000001,0.0
56.0,69.0408576,0.0
57.0,70.00646400000001,0.0
58.0,70.811136,0.0
59.0,71.2939392,0.0
60.0,71.615808,0.0
61.0,72.0986112,0.0
62.0,72.2595456,0.0
63.0,72.42048,0.0
64.0,72.58141440000001,0.0
65.0,73.0642176,0.0
66.0,73.54702080000001,0.0
67.0,74.029824,0.0
68.0,74.5126272,0.0
69.0,74.834496,0.0
70.0,75.3172992,0.0
71.0,75.4782336,0.0
72.0,75.63916800000001,0.0
73.0,75.80010240000001,0.0
74.0,75.96103680000002,0.0
75.0,76.1219712,0.0
76.0,75.96103680000002,0.0
77.0,75.80010240000001,0.0
78.0,75.63916800000001,0.0
79.0,75.4782336,0.0
80.0,75.4782336,0.0
81.0,75.4782336,0.0
82.0,75.63916800000001,0.0
83.0,75.80010240000001,0.0
84.0,75.80010240000001,0.0
85.0,75.96103680000002,0.0
86.0,75.80010240000001,0.0
87.0,75.63916800000001,0.0
88.0,75.4782336,0.0
89.0,74.834496,0.0
90.0,74.5126272,0.0
91.0,74.35169280000001,0.0
92.0,74.5126272,0.0
93.0,74.834496,0.0
94.0,75.4782336,0.0
95.0,75.80010240000001,0.0
96.0,76.2829056,0.0
97.0,76.76570880000001,0.0
98.0,77.248512,0.0
99.0,77.57038080000001,0.0
100.0,78.053184,0.0
101.0,78.5359872,0.0
102.0,79.01879040000001,0.0
103.0,79.17972480000002,0.0
104.0,79.01879040000001,0.0
105.0,79.01879040000001,0.0
106.0,78.857856,0.0
107.0,78.857856,0.0
108.0,79.01879040000001,0.0
109.0,79.17972480000002,0.0
110.0,79.3406592,0.0
111.0,79.5015936,0.0
112.0,79.66252800000001,0.0
113.0,79.66252800000001,0.0
114.0,79.66252800000001,0.0
115.0,79.5015936,0.0
116.0,79.01879040000001,0.0
117.0,78.6969216,0.0
118.0,78.2141184,0.0
119.0,77.8922496,0.0
120.0,77.40944640000001,0.0
121.0,76.76570880000001,0.0
122.0,76.2829056,0.0
123.0,76.1219712,0.0
124.0,76.44384000000001,0.0
125.0,76.9266432,0.0
126.0,77.0875776,0.0
127.0,77.248512,0.0
128.0,77.0875776,0.0
129.0,77.0875776,0.0
130.0,77.0875776,0.0
131.0,77.248512,0.0
132.0,77.248512,0.0
133.0,77.248512,0.0
134.0,77.0875776,0.0
135.0,76.1219712,0.0
136.0,74.029824,0.0
137.0,69.6845952,0.0
138.0,66.30497280000002,0.0
139.0,63.56908800000001,0.0
140.0,63.08628480000001,0.0
141.0,62.764416000000004,0.0
142.0,62.764416000000004,0.0
143.0,62.925350400000006,0.0
144.0,63.56908800000001,0.0
145.0,64.5346944,0.0
146.0,65.983104,0.0
147.0,67.592448,0.0
148.0,69.36272640000001,0.0
149.0,70.32833280000001,0.0
150.0,70.9720704,0.0
151.0,71.2939392,0.0
152.0,71.4548736,0.0
153.0,71.7767424,0.0
154.0,71.9376768,0.0
155.0,72.2595456,0.0
156.0,72.74234880000002,0.0
157.0,73.54702080000001,0.0
158.0,73.8688896,0.0
159.0,74.5126272,0.0
160.0,75.3172992,0.0
161.0,75.4782336,0.0
162.0,75.63916800000001,0.0
163.0,75.80010240000001,0.0
164.0,76.60477440000001,0.0
165.0,77.0875776,0.0
166.0,77.248512,0.0
167.0,77.248512,0.0
168.0,77.0875776,0.0
169.0,76.9266432,0.0
170.0,76.1219712,0.0
171.0,75.1563648,0.0
172.0,74.35169280000001,0.0
173.0,73.8688896,0.0
174.0,73.54702080000001,0.0
175.0,73.22515200000001,0.0
176.0,73.0642176,0.0
177.0,72.9032832,0.0
178.0,72.42048,0.0
179.0,70.811136,0.0
180.0,69.36272640000001,0.0
181.0,67.91431680000001,0.0
182.0,66.78777600000001,0.0
183.0,66.78777600000001,0.0
184.0,67.7533824,0.0
185.0,69.0408576,0.0
186.0,70.00646400000001,0.0
187.0,70.6502016,0.0
188.0,70.16739840000001,0.0
189.0,69.6845952,0.0
190.0,69.20179200000001,0.0
191.0,69.36272640000001,0.0
192.0,69.8455296,0.0
193.0,70.6502016,0.0
194.0,71.2939392,0.0
195.0,71.7767424,0.0
196.0,72.2595456,0.0
197.0,72.0986112,0.0
198.0,71.4548736,0.0
199.0,70.6502016,0.0
200.0,69.8455296,0.0
201.0,69.52366080000002,0.0
202.0,69.52366080000002,0.0
203.0,69.36272640000001,0.0
204.0,69.20179200000001,0.0
205.0,69.20179200000001,0.0
206.0,69.36272640000001,0.0
207.0,69.8455296,0.0
208.0,70.6502016,0.0
209.0,70.811136,0.0
210.0,70.00646400000001,0.0
211.0,68.5580544,0.0
212.0,66.78777600000001,0.0
213.0,65.5003008,0.0
214.0,64.37376,0.0
215.0,64.37376,0.0
216.0,64.8565632,0.0
217.0,65.983104,0.0
218.0,67.592448,0.0
219.0,68.7189888,0.0
220.0,69.36272640000001,0.0
221.0,69.52366080000002,0.0
222.0,69.8455296,0.0
223.0,70.6502016,0.0
224.0,71.2939392,0.0
225.0,71.9376768,0.0
226.0,72.58141440000001,0.0
227.0,73.0642176,0.0
228.0,73.7079552,0.0
229.0,74.834496,0.0
230.0,75.4782336,0.0
231.0,75.96103680000002,0.0
232.0,76.2829056,0.0
233.0,76.1219712,0.0
234.0,76.1219712,0.0
235.0,75.96103680000002,0.0
236.0,75.96103680000002,0.0
237.0,75.96103680000002,0.0
238.0,75.80010240000001,0.0
239.0,75.63916800000001,0.0
240.0,75.63916800000001,0.0
241.0,75.4782336,0.0
242.0,75.3172992,0.0
243.0,75.4782336,0.0
244.0,75.63916800000001,0.0
245.0,75.96103680000002,0.0
246.0,76.44384000000001,0.0
247.0,77.0875776,0.0
248.0,77.248512,0.0
249.0,77.248512,0.0
250.0,77.248512,0.0
251.0,77.248512,0.0
252.0,77.248512,0.0
253.0,77.40944640000001,0.0
254.0,77.57038080000001,0.0
255.0,77.57038080000001,0.0
256.0,77.40944640000001,0.0
257.0,78.2141184,0.0
258.0,78.6969216,0.0
259.0,79.01879040000001,0.0
260.0,79.01879040000001,0.0
261.0,79.01879040000001,0.0
262.0,79.01879040000001,0.0
263.0,79.01879040000001,0.0
264.0,78.857856,0.0
265.0,78.6969216,0.0
266.0,77.57038080000001,0.0
267.0,76.76570880000001,0.0
268.0,76.44384000000001,0.0
269.0,75.96103680000002,0.0
270.0,75.1563648,0.0
271.0,74.35169280000001,0.0
272.0,74.029824,0.0
273.0,73.7079552,0.0
274.0,73.38608640000001,0.0
275.0,73.0642176,0.0
276.0,72.74234880000002,0.0
277.0,72.42048,0.0
278.0,71.9376768,0.0
279.0,71.615808,0.0
280.0,71.13300480000001,0.0
281.0,70.00646400000001,0.0
282.0,68.8799232,0.0
283.0,67.592448,0.0
284.0,64.5346944,0.0
285.0,62.12067840000001,0.0
286.0,60.35040000000001,0.0
287.0,57.6145152,0.0
288.0,55.84423680000001,0.0
289.0,54.717696000000004,0.0
290.0,53.591155199999996,0.0
291.0,52.30368,0.0
292.0,51.016204800000004,0.0
293.0,49.24592640000001,0.0
294.0,47.63658240000001,0.0
295.0,46.349107200000006,0.0
296.0,45.7053696,0.0
297.0,46.02723840000001,0.0
298.0,47.47564800000001,0.0
299.0,50.5334016,0.0
300.0,53.7520896,0.0
301.0,57.29264640000001,0.0
302.0,60.35040000000001,0.0
303.0,62.925350400000006,0.0
304.0,64.69562880000001,0.0
305.0,66.14403840000001,0.0
306.0,67.2705792,0.0
307.0,68.2361856,0.0
308.0,68.8799232,0.0
